,rowNum,ID,actrorID,cdateTime,followerCount,statusesCount,tweetType,body,countryregion,Longitude,Latitude,relevant
0,651,642502977551335424,2715327564,2015-09-12 01:00:21.000,132,483,tweet,Crying bc just met ArianaGrande and she said you are so fire and I love buterabeautyxox and we are so happy,None,-118.26724290847778,34.04305866015764,0
1,900,642503018143838208,272778527,2015-09-12 01:00:31.000,627,8798,tweet,Prayers for juliamarie711 and all of the other families who have lost their homes in this fire waiting for a miracle calaverasstrong,None,-124.482003,32.528832,1
2,7679,642504088358293505,18456014,2015-09-12 01:04:46.000,4613,4393,tweet,While most folks try to stay cool 2 strike teams from LAFD r headed to Butte in NorCal 2 fight massive fire there http t co uWuoiKkP9p,None,-118.66840400000001,33.704538,0
3,9672,642504399021936640,1889097102,2015-09-12 01:06:00.000,362,16026,tweet,passed by a fire in Gilroy and lord the traffic is insane,None,-124.482003,32.528832,1
5,24012,642506678198374400,150300866,2015-09-12 01:15:03.000,291,5911,tweet,When I yawn I sound like an old man who finally excepted his grown son s gay lifestyle amp really wants to live but he s on fire amp will die,California,-118.37031999999999,34.142629799999995,0
7,33069,642508124339879936,172091609,2015-09-12 01:20:48.000,305,2503,tweet,Structurefire ge3 os one story house with smoking showing appers attic fire adresss will be 1326 ramona pl SoCalSafety1st ducksfan95,California,-117.845301,33.6941797,1
9,33565,642508196578332674,848400984,2015-09-12 01:21:05.000,567,11907,tweet,I was soooo excited rn when I found out I could use the fire stick in any room,None,-119.080552,36.029555,0
11,39386,642509098924179456,1970434591,2015-09-12 01:24:41.000,235,7496,tweet,TheCEO_ HeirDash shits soo fire,None,-117.43191399999999,34.019341,0
15,47015,642510280023371776,85199874,2015-09-12 01:29:22.000,373,3005,tweet,I know it s not NY style but it s the comfort food I need to close out today Chicago Fire in Roseville CA https t co NmLwu6GwaF,,-121.38500900000001,38.716060999999996,0
16,48947,642510573800833026,2564004852,2015-09-12 01:30:32.000,170,4820,tweet,Shit is fire https t co TlTAIAC3Ni,Nevada,-115.20925349999999,35.98478400000001,0
17,54565,642511434778324992,19378102,2015-09-12 01:33:57.000,189,1929,tweet,When your about to drop the most fire mixtape of 2015 nonickatnight butfirstvegas stephcitybitch https t co s9vEQiPRdD,None,-115.20925349999999,35.98478400000001,0
19,59554,642512186917584896,54071118,2015-09-12 01:36:57.000,3347,18142,tweet,A dance to defeat the Rough Fire s ash http t co rv6Zm2vro4 via abc30 http t co rklGACI1dm,California,-119.93256799999999,36.648905,1
21,64673,642512977405480961,1056438774,2015-09-12 01:40:05.000,603,7439,tweet,Calaveras County fire threatening our ranch,California,-122.104336,37.925263,1
22,82594,642515675282444288,19503715,2015-09-12 01:50:49.000,3270,42219,tweet,Next county over is on fire Went from 16 to 65k acres today and burning out of control It s smoky as hell and raining ash 20 miles away,,-124.482003,32.528832,1
23,87623,642516419662508032,114532197,2015-09-12 01:53:46.000,202,1159,tweet,I saw this ball of fire in the sky So I took a picture of it sun https t co EYOjXboAkw,California,-121.41687160000001,37.883347,1
26,90663,642516879832035328,1852377720,2015-09-12 01:55:36.000,204,4151,tweet,the sun looks like its on fire,California,-121.576613,38.43792,1
27,94217,642517405646880768,15931458,2015-09-12 01:57:41.000,278,2683,tweet,Looks like the fire dept is waiting to catch a home run Mccovey Cove https t co RD15O4znV8,Oklahoma,-122.514926,37.708075,1
29,98588,642518045374615552,55218049,2015-09-12 02:00:14.000,5648,238673,tweet,Former NYC Fire Captain Pleads No Contest To Sexually Abusing 2 Boys In L A A former EMS captain with the New http t co au8QAKiKCG,California,-118.66840400000001,33.704538,0
30,106454,642519189186437121,146123790,2015-09-12 02:04:46.000,18970,9214,tweet,Just flew by the Rough Fire in central California View from 30 000 feet CAdrought http t co oWIR1H0w16,California,-122.34266000000001,37.699279,1
31,107937,642519394120155136,3250267789,2015-09-12 02:05:35.000,183,555,tweet,Feel bad for all the people up by the fire hope you guys stay safe,None,-121.01498600000001,37.773101000000004,1
32,108824,642519515956297728,64980124,2015-09-12 02:06:04.000,1089,30704,tweet,Valley of Fire tomorrow morning,Nevada,-115.20925349999999,35.98478400000001,1
33,112349,642520049996140544,12425302,2015-09-12 02:08:12.000,773,69039,tweet,here for shasta lake 9 11 candlelight ceremony 2015 Fire Station 42 in Shasta Lake CA https t co EKDBOKBke7 http t co IlJNu6SpSX,California,-122.401749,40.650494,1
34,112421,642520060548902912,2391766298,2015-09-12 02:08:14.000,1014,8841,tweet,bruh who set elco on fire,None,-118.66840400000001,33.704538,1
35,112789,642520117201518592,104100660,2015-09-12 02:08:28.000,2679,5157,tweet,Nice tribute to 9 11 from the Beverly Hills fire dept neverforget september11th 911 firetruck https t co MRFZwGBWgs,California,-118.4273439,34.052559,0
36,117684,642520837296226304,132062287,2015-09-12 02:11:19.000,24151,65214,tweet,I hope they stop the fire goodlaura scshepard,California,-121.42394099999999,38.562585,1
37,122415,642521517436239872,811252573,2015-09-12 02:14:01.000,130,2024,tweet,rp loml looking fire as always beautybehindthemadness http t co VH1QKNVEQD,None,-118.204687,33.979979,0
38,124419,642521808646766592,12237582,2015-09-12 02:15:11.000,383,26874,tweet,I remember calling my mom into the room and saying something bad was happening because the tower was on fire And then sitting there,None,-121.300453,37.768375899999995,0
39,130887,642522751270539264,29546737,2015-09-12 02:18:56.000,119,1231,tweet,Smores and a fire pit at the lantern festival lanternfest lanternfestival firepit smores https t co vlHqy9ESEK,,-114.052999,36.997904999999996,0
40,132278,642522956116004865,297199497,2015-09-12 02:19:44.000,1283,44345,tweet,Dam it s already 7 haha that nap was fire tho,None,-119.30084599999999,35.463437,0
41,132293,642522957374337024,2189354036,2015-09-12 02:19:45.000,432,6799,tweet,DatBootyPimp much hot Such fire,None,-124.14008100000001,40.77209000000001,1
42,147195,642525068526882817,159386262,2015-09-12 02:28:08.000,389,4699,tweet,90059 is the most fire shit I ever heard God Dammm,California,-118.66840400000001,33.704538,1
44,151212,642525620543447041,718575523,2015-09-12 02:30:20.000,90,2245,tweet,Owlcantara shaymin used hidden power fire,None,-124.482003,32.528832,0
45,152182,642525751741251584,2888830806,2015-09-12 02:30:51.000,546,1506,tweet,Niggas sleeping on me I swear to god I spit straight fire ima drop my mixtape soon Just wait on it,None,-122.03531100000001,37.193164,0
46,155937,642526262984966144,114245913,2015-09-12 02:32:53.000,391,12127,tweet,Is there a fire a little past Walmart,California,-124.482003,32.528832,1
47,157730,642526496175730689,2775703766,2015-09-12 02:33:48.000,190,530,tweet,so proud of my momma she was at the command center dispatching the fire for 48 hours on 4 hours of sleep cassiemay48,None,-124.482003,32.528832,1
48,163769,642527335468662784,1471327938,2015-09-12 02:37:09.000,149,3773,tweet,going on my 3rd hour on this bus all I have left to eat are cashews children are dying the world is on fire EL NIÑO IS REAL,None,-124.482003,32.528832,0
49,164396,642527420575182849,15399631,2015-09-12 02:37:29.000,173,4402,tweet,This is gonna be long game I assume because I m not gonna watch this dumpster fire Dodgers,California,-124.482003,32.528832,0
50,165385,642527560547500032,539721796,2015-09-12 02:38:02.000,5227,79188,quote,When I hear there cries from hell and the lake of fire I want2know I told them Jesus is God Allah is not Y I loveU https t co 0ZApHxAQ8f,California,-116.57079350000001,33.7794258,0
52,167711,642527874780532736,1902027529,2015-09-12 02:39:17.000,42,2630,tweet,I ll make it 180 on a KC Bal brawl before the wknd is out Orioles frustrating season just adds fuel to the fire,Nevada,-115.384091,36.129459000000004,0
53,176000,642529050930450432,59583366,2015-09-12 02:43:58.000,144,578,tweet,Defense is on fire with Richard Hampton forcing 2 fumbles Hadari Darden with 2 sacks Moreau 27 0,California,-122.16081399999999,37.592632,0
54,178968,642529456955895809,251306196,2015-09-12 02:45:34.000,711,87344,tweet,shits fire fam,None,-119.881745,34.404565000000005,0
55,185494,642530377798541312,2941367558,2015-09-12 02:49:14.000,24,831,tweet,bryant_escobar I maintain fire like the lafd hahah http t co R6iQE10atY,None,-118.317776,33.9309516,0
58,208973,642533641457766400,1029564403,2015-09-12 03:02:12.000,311,8124,tweet,The_JasonM the A s fire thier third base coach Why not the Giants,California,-122.096971,37.56138,0
59,209769,642533756553728000,48670101,2015-09-12 03:02:39.000,3766,3509,tweet,NP FIRE VOODOO CHILD Gregg Wright chuckwrightbass SimonWrightDrum Calif_Rock_News ultimate_jam LuckyStrikeLive https t co GO9Bqz1TNE,California,-118.66840400000001,33.704538,0
61,220329,642535244206317568,18368932,2015-09-12 03:08:34.000,1381,21322,tweet,Fire in drinks confuse people The Golden Tiki https t co CoHfLOlDi1,Nevada,-115.20925349999999,35.98478400000001,0
62,221951,642535465824858112,3171699594,2015-09-12 03:09:27.000,115,1055,tweet,Fire http t co 9vncLTYxgg,California,-119.93256799999999,36.648905,0
63,227643,642536275044491264,2337034370,2015-09-12 03:12:40.000,430,3386,tweet,don t play with fire guys http t co e2CbuPAmrl,None,-117.6110675,33.9251972,0
66,244287,642538674056392704,2573530080,2015-09-12 03:22:12.000,247,6969,tweet,Our county really doesn t get a break Praying they get the fire under control ButteFire,None,-124.482003,32.528832,1
67,244436,642538695770243072,1489636136,2015-09-12 03:22:17.000,781,29975,tweet,ThatMFDeeDay nah it s kinda by the airwing next to McDonald s by the fire station,None,-124.482003,32.528832,0
68,248875,642539342066491392,11002282,2015-09-12 03:24:51.000,194,2567,tweet,Thank you to Fire and Police Departments for coming to our 9 11 pep rally We are humbled to be able https t co pUoinmzkBT,California,-117.2301723,33.0907611,0
70,262571,642541338144038912,1525224571,2015-09-12 03:32:47.000,265,146,tweet,Just saw the bus driver from the fire in Jack in the Box http t co DB7xRJDmqo,None,-117.845301,33.6941797,0
72,279365,642543807397949442,1146136638,2015-09-12 03:42:36.000,773,15052,tweet,TomthunkitsMind mch7576 Say let s be sure congress doesn t get paid if they walk off the job Why can t we fire any who don t work for us,None,-118.51735749999999,33.9951771,0
73,279581,642543838259613696,3166040222,2015-09-12 03:42:43.000,95,250,tweet,JasonMSMBoodoo SingingMonsters I think there is like ten monsters on dawn of fire,None,-117.5243291,34.033432,0
74,284446,642544540591624192,1328252233,2015-09-12 03:45:31.000,190,7091,tweet,Sometimes I just wanna use my airsofting rifle then let loose and rain fire over them,California,-121.41687160000001,37.883347,0
75,286368,642544825988943873,41043058,2015-09-12 03:46:39.000,1059,60440,tweet,These right here are Fire GoodHealth Lime Ranch KettleChips Some of my swag from the https t co TPWCdv1CfN,,-118.250227,33.732905,0
77,291163,642545535312863232,54463831,2015-09-12 03:49:28.000,973,18953,tweet,Wow the sky was on fire during late sunset This was around the Natural Bridges State Beach around https t co SG2cgxVqUV,California,-122.076144,36.948098,0
78,293555,642545895427313665,1711447429,2015-09-12 03:50:54.000,150,3453,tweet,Go to pick up food and the bag catches on fire,None,-122.214704,37.425221,0
81,310486,642548496843706368,269373244,2015-09-12 04:01:14.000,3587,75067,tweet,tylytle5 Completed 5 of first 6 passes 0 7 with a pick since Completions of 14 11 19 7 and 11 but DLS DL has him under fire,California,-122.066245,37.924231,0
83,314487,642549108956246016,1618909164,2015-09-12 04:03:40.000,8325,10337,quote,No bias but this is fire Loool https t co Am2DDIsc8b,New Jersey,-118.66840400000001,33.704538,0
86,334427,642552225701629952,1578172158,2015-09-12 04:16:03.000,400,8662,tweet,I hope everyone in Sonora is okay this fire thing is scary,None,-122.16081399999999,37.592632,1
88,345224,642553985098891264,1606472113,2015-09-12 04:23:02.000,736,208952,tweet,GRASS GRASS BARKDUST OR TREE FIRE at 38500 BLOCK OF NW REEDER RD COLU Sauvie Island Fire RS15000000119 20 33 pdx911,Oregon,-124.70354099999999,41.991795,0
90,353077,642555269663211520,174922494,2015-09-12 04:28:09.000,610,68087,tweet,Seeing all the videos on fb of the fire trucks bringing Darren s body home killed me I miss you buddy rest easy,None,-118.51735749999999,33.9951771,0
92,358653,642556188933156864,365216824,2015-09-12 04:31:48.000,135,1122,tweet,Dinner with my girl willrun4sprinkles partnerinpizza Pit Fire Pizza https t co 3QsHOcR6BJ,None,-117.954201,33.625178999999996,0
93,359971,642556400200126464,1127331547,2015-09-12 04:32:38.000,436,12947,tweet,Then again THAT WALL OF FIRE THO WorldofColorprobs,California,-118.017789,33.788913,0
94,368934,642557940260450304,258521780,2015-09-12 04:38:45.000,900,18736,tweet,yobrahhh but like stone fire is for you,California,-118.71998500000001,34.105958,0
98,382145,642560284297592832,302788970,2015-09-12 04:48:04.000,459,48775,tweet,NancyLeeGrahn jen21moochnlg My city s fire fighters went 2 Ground Zero amp almost all of them got sick amp retired early,None,-117.523867,33.85216,0
100,390074,642561688546377728,80692154,2015-09-12 04:53:39.000,442,8035,tweet,I just ate a chain restaurant meal and actually enjoyed it bjsrestaurants has a tasty new fire barbacoa chicken dish that makes sense,California,-117.117116,32.582128000000004,0
101,396265,642562799936237568,575029336,2015-09-12 04:58:04.000,373,1612,tweet,joshroizman Mustangs were on fire,None,-117.8462113,33.862324,0
103,405285,642564436348108801,337969081,2015-09-12 05:04:34.000,1061,44314,tweet,Fire is apparently cold now,California,-117.63786200000001,34.077184,1
104,407347,642564818478592005,2272109640,2015-09-12 05:06:05.000,505,10753,tweet,putting my fire pit to use,None,-121.4878638,38.379179,0
105,411827,642565674619924481,3192614035,2015-09-12 05:09:29.000,486,26782,tweet,Fire so serious we woke up to gray skies FOX40 http t co yCWSGJqHY8,California,-121.576613,38.43792,1
106,412197,642565746019581952,3196805648,2015-09-12 05:09:46.000,143,3648,tweet,This fire is out of control Our air is so bad the sun is orange http t co iac4L3CJlm,California,-121.382934,38.5588583,1
107,412548,642565812214099968,1051720657,2015-09-12 05:10:02.000,253,31918,tweet,I m on fire,None,-118.250227,33.732905,0
110,421834,642567655656820736,3196805648,2015-09-12 05:17:22.000,143,3650,tweet,mandajane0990 That fire went from 14 700 acres this morning to over 65 000 acres tonight amp is rushing towards the small town of San Andreas,California,-121.382934,38.5588583,1
111,427881,642568880313884672,820880580,2015-09-12 05:22:14.000,595,15241,tweet,Football was so fucking fire today,None,-118.66840400000001,33.704538,0
